GEOID,county_name,state_name,year,median_home_value_with_mortgage,median_home_value_without_mortgage,pct_homeownership_black
29159,"Pettis County, Missouri",Missouri,2023,161100,162100,40.1
49015,"Emery County, Utah",Utah,2023,221700,167200,0
46061,"Hanson County, South Dakota",South Dakota,2023,200300,175700,0
29003,"Andrew County, Missouri",Missouri,2023,196000,196300,89.8
23011,"Kennebec County, Maine",Maine,2023,227200,207800,43.7
54061,"Monongalia County, West Virginia",West Virginia,2023,278200,222300,27.7
16063,"Lincoln County, Idaho",Idaho,2023,194100,229400,0
16005,"Bannock County, Idaho",Idaho,2023,286200,239900,58.8
27057,"Hubbard County, Minnesota",Minnesota,2023,253300,258700,0
51065,"Fluvanna County, Virginia",Virginia,2023,273700,301600,74.1
51085,"Hanover County, Virginia",Virginia,2023,382700,348200,72.3
06007,"Butte County, California",California,2023,429900,358300,35
06023,"Humboldt County, California",California,2023,430600,402500,21.1
48155,"Foard County, Texas",Texas,2023,109700,67000,0
48307,"McCulloch County, Texas",Texas,2023,128800,86600,0
29133,"Mississippi County, Missouri",Missouri,2023,107900,92600,32.9
18165,"Vermillion County, Indiana",Indiana,2023,112500,103400,0
48327,"Menard County, Texas",Texas,2023,102600,106800,0
28139,"Tippah County, Mississippi",Mississippi,2023,138500,110800,64.1
05061,"Howard County, Arkansas",Arkansas,2023,162000,115000,50.4
01029,"Cleburne County, Alabama",Alabama,2023,201100,116600,84.5
05019,"Clark County, Arkansas",Arkansas,2023,188900,121300,52.2
40099,"Murray County, Oklahoma",Oklahoma,2023,187800,123300,26.1
20093,"Kearny County, Kansas",Kansas,2023,192200,124700,0
26051,"Gladwin County, Michigan",Michigan,2023,160300,141600,100
46047,"Fall River County, South Dakota",South Dakota,2023,189600,163300,0
22087,"St. Bernard Parish, Louisiana",Louisiana,2023,210900,167500,46.1
26105,"Mason County, Michigan",Michigan,2023,208900,190700,100
47031,"Coffee County, Tennessee",Tennessee,2023,247000,204900,37.6
48019,"Bandera County, Texas",Texas,2023,285400,229000,43.1
51045,"Craig County, Virginia",Virginia,2023,198600,235200,0
46103,"Pennington County, South Dakota",South Dakota,2023,284600,246200,18.8
